Дата,Тип,Категория,Описание,Сумма,Местоположение,Способ оплаты,Карта,Время
2023-03-05,Расход,Здоровье,Аптека,400,Аптека "Фармация",Наличные,Наличные,11:00
2023-03-06,Расход,Развлечения,Боулинг,1200,Боулинг-клуб "Strike",Карта Visa,**** **** **** 1234,19:30
2023-03-07,Доход,Зарплата,Зарплата за февраль,26000,ООО "Компания",Банковский перевод,**** **** **** 5678,12:15
2023-03-08,Расход,Еда,Ресторан,3200,Ресторан "SushiMaster",Карта MasterCard,**** **** **** 1234,20:45
2023-03-09,Доход,Дивиденды,Дивиденды по акциям,3500,Инвестиционная компания,Банковский перевод,**** **** **** 5678,09:40
2023-03-10,Расход,Транспорт,Такси,500,Служба такси "Uber",Карта Visa,**** **** **** 1234,18:30
2023-04-01,Расход,Еда,Покупка продуктов,4200,Супермаркет "Ашан",Карта Visa,**** **** **** 5678,10:10
2023-04-02,Расход,Транспорт,Заправка топливом,2400,АЗС "Газпромнефть",Карта MasterCard,**** **** **** 1234,14:50
2023-04-03,Расход,Жилье,Аренда квартиры,9800,Управляющая компания,Банковский перевод,**** **** **** 5678,07:55
2023-04-04,Доход,Доход от инвестиций,Доход от акций,800,Инвестиционная компания,Банковский перевод,**** **** **** 1234,16:25
2023-04-05,Расход,Здоровье,Стоматология,2000,Стоматологическая клиника "Зубки",Карта Visa,**** **** **** 5678,11:30
2023-04-06,Расход,Развлечения,Концерт,1300,Концертный зал "Музик Холл",Карта Visa,**** **** **** 1234,21:15
2023-04-07,Доход,Зарплата,Зарплата за март,27000,ООО "Компания",Банковский перевод,**** **** **** 5678,12:10
2023-04-08,Расход,Еда,Ресторан,3000,Ресторан "PastaMia",Карта MasterCard,**** **** **** 1234,19:55
2023-04-09,Доход,Дивиденды,Дивиденды по акциям,4000,Инвестиционная компания,Банковский перевод,**** **** **** 5678,08:40
2023-04-10,Расход,Транспорт,Билеты на поезд,1200,Железнодорожная касса,Карта Visa,**** **** **** 1234,17:30
2023-05-01,Расход,Еда,Покупка продуктов,4700,Супермаркет "Перекресток",Карта Visa,**** **** **** 1234,10:30
2023-05-02,Расход,Транспорт,Билеты на автобус,200,Автобусная остановка "Центральная",Наличные,Наличные,09:00
2023-05-03,Расход,Жилье,Квартплата,8800,Управляющая компания,Банковский перевод,**** **** **** 5678,11:45
2023-05-04,Доход,Доход от инвестиций,Доход от акций,820,Инвестиционная компания,Банковский перевод,**** **** **** 1234,15:20
2023-05-05,Расход,Здоровье,Аптека,450,Аптека "Фармалайф",Карта Visa,**** **** **** 5678,10:50
2023-05-06,Расход,Развлечения,Боулинг,1100,Боулинг-клуб "RollingStrike",Карта Visa,**** **** **** 1234,18:15
2023-05-07,Доход,Зарплата,Зарплата за апрель,27500,ООО "Компания",Банковский перевод,**** **** **** 5678,13:30
2023-05-08,Расход,Еда,Ресторан,3200,Ресторан "SteakHouse",Карта MasterCard,**** **** **** 1234,20:00
2023-05-09,Доход,Дивиденды,Дивиденды по акциям,3600,Инвестиционная компания,Банковский перевод,**** **** **** 5678,08:55
2023-05-10,Расход,Транспорт,Такси,600,Служба такси "YandexTaxi",Карта Visa,**** **** **** 1234,17:40
2023-06-01,Расход,Еда,Покупка продуктов,4800,Супермаркет "О'КЕЙ",Карта MasterCard,**** **** **** 5678,11:10
2023-06-02,Расход,Транспорт,Заправка топливом,2300,АЗС "Татнефть",Карта Visa,**** **** **** 1234,14:35
2023-06-03,Расход,Жилье,Аренда квартиры,9400,Управляющая компания,Банковский перевод,**** **** **** 5678,09:25
2023-06-04,Доход,Доход от инвестиций,Доход от акций,870,Инвестиционная компания,Банковский перевод,**** **** **** 1234,17:15
2023-06-05,Расход,Здоровье,Стоматология,1800,Стоматологическая клиника "Зубище",Карта Visa,**** **** **** 5678,12:40
2023-06-06,Расход,Развлечения,Концерт,1400,Концертный зал "RockHall",Карта MasterCard,**** **** **** 1234,21:30
2023-06-07,Доход,Зарплата,Зарплата за май,28000,ООО "Компания",Банковский перевод,**** **** **** 5678,14:50
2023-06-08,Расход,Еда,Ресторан,3400,Ресторан "BurgerZone",Карта Visa,**** **** **** 1234,19:25
2023-06-09,Доход,Дивиденды,Дивиденды по акциям,3800,Инвестиционная компания,Банковский перевод,**** **** **** 5678,10:05
2023-06-10,Расход,Транспорт,Билеты на поезд,1100,Железнодорожная касса,Карта Visa,**** **** **** 1234,18:10
